Fuel Type Code,Station Name,Street Address,City,State,Latitude,Longitude,Open Date
Ethanol Fuel,Citgo - Cisne Knapp Mart,600 Route 45 S,Cisne,IL,38.515575,-88.434887,2005-05-15
Ethanol Fuel,Knapp Mart - Clay City,943 S Main St,Clay City,IL,38.680794,-88.3541,2005-03-15
Ethanol Fuel,Qik-n-EZ #60,1510 E Vernon Ave,Normal,IL,40.503295,-88.954711,
Ethanol Fuel,Qik-n-EZ #72,1609 N Main St,Normal,IL,40.530365,-88.996595,2005-07-15
Ethanol Fuel,Qik-n-EZ #52,301 S Poplar St,Pana,IL,39.386204,-89.081528,2005-07-15
Ethanol Fuel,Fast Stop Fuel 24 - Princeton Gas,720 N Main St,Princeton,IL,41.382223,-89.465298,2005-07-15
Ethanol Fuel,Salem Knapp Mart,500 S Broadway Ave,Salem,IL,38.623436,-88.945373,2006-10-15
Ethanol Fuel,Qik-n-EZ #55,1101 Stevenson Dr,Springfield,IL,39.757093,-89.640412,2006-09-15
Ethanol Fuel,Qik-n-EZ #58,1995 W Monroe St,Springfield,IL,39.800091,-89.686464,2006-09-15
Ethanol Fuel,Qik-n-EZ #61,1230 Toronto Rd,Springfield,IL,39.713243,-89.637981,2006-09-15
Ethanol Fuel,Qik-n-EZ #71,430 N Grand Ave E,Springfield,IL,39.815674,-89.649813,
Ethanol Fuel,Roc One Stop,409 N Commercial St,Harrisburg,IL,37.741599,-88.530337,2005-07-15
Ethanol Fuel,Southern FS,5 W Robinson St,Harrisburg,IL,37.723427,-88.540554,2005-07-15
Ethanol Fuel,Lena Cenex at Noller's Food Pride - Sullivan's,201 Dodds Dr,Lena,IL,42.371425,-89.828589,2005-07-15
Ethanol Fuel,Citgo - Metropolis Knapp Mart,1117 E 5th St,Metropolis,IL,37.145598,-88.717317,2015-08-15
Ethanol Fuel,Nashville Knapp Mart - Citgo,17970 Mockingbird Rd,Nashville,IL,38.375798,-89.371532,2005-08-15
Ethanol Fuel,Citgo - Stewardson Knapp Mart,Route 32 & Main St,Stewardson,IL,39.263708,-88.619175,2005-05-15
Ethanol Fuel,Sapp Bros Travel Center,3130 May Rd,Peru,IL,41.366352,-89.151102,2003-08-15
Ethanol Fuel,Martin's IGA - Midtown Fuels,503 W Jefferson St,Effingham,IL,39.121525,-88.548013,2008-07-01
Ethanol Fuel,The Hometown Express,365 US Highway 6 E,Geneseo,IL,41.4479804,-90.1605357,2005-12-15
Ethanol Fuel,Speedway #1417,4032 US Highway 34,Oswego,IL,41.687679,-88.338486,2005-06-15
Ethanol Fuel,Shell - Jiffi Stop #16,1401 N 24th St,Quincy,IL,39.948277,-91.378235,2005-12-15
Ethanol Fuel,Speedway #1411,1300 W Normantown Rd,Romeoville,IL,41.653589,-88.126517,2005-06-15
Ethanol Fuel,Cenex Xtramile - Lenny's,352 N Morgan St,Virginia,IL,39.954339,-90.209919,2005-12-15
Ethanol Fuel,Qik-n-EZ #57,103 Comfort Dr,Jacksonville,IL,39.691765,-90.229191,2007-05-15
Ethanol Fuel,Thorntons #125,2800 Ogden Ave,Aurora,IL,41.741088,-88.246494,2006-07-15
Ethanol Fuel,Road Ranger,4106 Harrison Ave,Rockford,IL,42.238544,-89.033516,2006-02-15
Ethanol Fuel,South Central FS,1800 Hillsboro Rd,Vandalia,IL,38.978067,-89.115262,2006-02-15
Ethanol Fuel,Speedway #1419,15060 S Bell Rd,Homer Glen,IL,41.614843,-87.931122,2005-12-15
Ethanol Fuel,Piatt Service Co,427 W Marion,Monticello,IL,40.023427,-88.575339,2005-11-15
Ethanol Fuel,FS Fast Stop Express,1601 1st Ave,Silvis,IL,41.510946,-90.406297,2020-01-17
Ethanol Fuel,Citgo - Stockton Travel Center,601 E North Ave,Stockton,IL,42.357705,-89.999308,2006-03-15
Ethanol Fuel,Fast Stop Travel Center,4 Corvette Dr,Litchfield,IL,39.176047,-89.675175,2006-02-15
Ethanol Fuel,Blick & Blick Oil Inc,203 SE 5th Ave,Aledo,IL,41.200666,-90.74496,2006-04-15
Ethanol Fuel,Shell,750 E Higgins Rd,Schaumburg,IL,42.041546,-88.060333,2005-06-15
Ethanol Fuel,Carroll Service Co,505 W Illinois Route 64,Lanark,IL,42.09564673891688,-89.83950848175357,2006-06-15
Ethanol Fuel,Thorntons #351,107 W Spring Creek Rd,East Peoria,IL,40.731988,-89.520297,2006-08-15
Ethanol Fuel,Gibson City Fuel 24,Illinois 9 & Illinois 54,Gibson City,IL,40.456881,-88.369153,2007-01-15
Ethanol Fuel,Riverland Fast Stop,Route 164 & 94,Oquawka,IL,40.923711,-90.864261,2012-11-30
Ethanol Fuel,Thorntons #364,102 W Etna Rd,Ottawa,IL,41.372708,-88.836283,2006-08-15
Ethanol Fuel,Minuteman Riverside,3346 S Harlem Ave,Riverside,IL,41.841137,-87.803505,2006-08-15
Liquified Petroleum Gas,Ferrellgas,7801 31st St W,Rock Island,IL,41.443053,-90.60959,2006-10-09
Ethanol Fuel,Woodman's Grocery,151 Hansen Blvd,North Aurora,IL,41.804458,-88.371594,2007-01-15
Ethanol Fuel,Shell - Express Lane #9,1111 Route 30,Rock Falls,IL,41.770613901738,-89.70491771614684,2007-02-15
Ethanol Fuel,Shell,3301 W Howard St,Skokie,IL,42.018572,-87.71161,2007-02-15
Ethanol Fuel,BP - Monroe Center,5534 N Limestone Rd,Monroe Center,IL,42.101168,-89.017255,2007-03-15
Ethanol Fuel,Shell - Circle K,220 W Virginia St,Crystal Lake,IL,42.227867,-88.328527,2007-06-15
Ethanol Fuel,Citgo - Aisha Wash and Fuel Island,5549 W Diversey Ave,Chicago,IL,41.930943,-87.765779,2007-09-15
Ethanol Fuel,Fairview Quick Stop,900 Church St,Fairview,IL,40.642621,-90.163751,2007-10-15
